Avancement;Profondeur 1;Profondeur 2;Profondeur 3;Profondeur 4;Profondeur 5;Profondeur 6;Profondeur 7;Profondeur 8
37;92600;401900;2637300;8022900;57068100;170050400;1065629000;2773730700
44;77800;182600;1042900;3001300;13789000;49097200;136977100;503076400
31;78500;337200;1885100;9102300;28433200;201446400;267392100;2144862000
30;145200;908200;7033200;26891900;206161100;658224700;3717313000;8066394800
23;7076800;2100800;11734300;53046500;23158300;92260100;193371600;886112600
23;111500;142800;1107700;2054900;13995300;23857700;210907100;358479200
48;215100;450100;919200;2872900;7077600;21729200;61600900;128939000
15;86900;392500;1256300;5330600;16725800;82138800;262951100;1384947500
32;111300;714600;2223800;20552100;119781000;470068300;4275048000;9760477800
21;114600;475000;2272800;12731900;69737200;340842400;1958100000;9932441700
31;97700;407300;2298300;6592100;34125500;76202900;352625500;1222709600
34;55500;245100;802300;3276800;11294400;38174200;174440700;1071013300
35;121200;256800;2302800;5656900;42750500;81965600;502526600;995485800
29;140500;418700;3168900;6461200;55631000;158684800;656709300;3306969900
37;82700;416900;2500400;13653900;54193600;281784700;833360200;4245432500
10;80400;331000;1215200;5765000;23101000;74145400;301897600;1160124000
36;165500;579000;4216100;20036600;96385700;357975000;1978234800;7236341100
26;106100;485100;2606400;7365300;52788200;173519400;876141300;3477071200
27;68900;497300;1707900;8858300;27724600;175959000;546670600;3016700100
47;92600;151500;558500;1158200;4094000;7333700;22745000;49227600
33;129000;212700;1460200;2502100;21666800;42166200;345675800;898381200
31;127600;581000;6896000;19170900;180027100;371116900;3094851500;5664362100
17;102900;403500;2688300;12743700;71883500;326445000;1712865000;7200097100
29;83500;437200;2581300;12616500;54625400;203472600;1002748700;2177192200
48;83100;210400;972500;3196900;12498900;33614100;105424300;216273400
23;110200;297200;1538500;10006400;38995000;166845000;463916200;2218597900
14;69300;165600;962600;2989700;14791300;45798200;275193100;1446717100
27;154700;839200;6201500;34505700;287477600;1066171000;7384099000;33179753800
11;92700;217200;1930200;4526100;30225800;73596200;508578400;1275618200
37;146200;736200;4805700;31537700;163020300;890762900;3811711300;17606702900
17;125900;413300;3306500;13260100;107430100;368029400;2488262500;6965082100
16;141800;542000;3764200;11297700;84443100;301290100;2052403800;6674359800
38;94500;170700;1583900;5885000;43900800;117170200;581750400;1697694200
25;102000;367500;2368600;8423800;42610100;125524000;782321500;1928203700
45;59000;276200;708000;3053200;7925800;32066100;68799900;310705500
10;99500;258700;1240800;3269700;23089400;69256300;380400700;2124225600
23;75900;283600;1668700;5906400;31034200;174688500;685996100;4728562300
40;129500;274000;2375900;3745100;33082000;79573000;535596500;1080407600
44;66200;105700;440400;768000;4370800;8087700;54698900;69565900
36;63600;411600;1169100;6375200;16502500;101509900;217353200;1284610700
27;124700;320200;2635300;8457700;39780100;184678700;737380800;3979713500
15;99500;651800;3262100;16893000;49566100;213396000;943492300;4081379500
18;74800;250800;1597700;5451100;28075600;66019100;423448000;1501940000
19;79100;379100;2219100;6396400;32191000;153727700;647489300;3046216500
18;146200;268300;1301000;5299300;29363500;118250900;601488600;2338389700
19;112400;503400;1730700;11109400;28790100;131305200;517975100;1819926800
18;96100;267800;1746900;3229700;36307600;54652000;624988500;1029486300
38;107600;647200;6399600;45784900;446997900;2822020000;26055025800;143674085200
49;49300;170500;640000;3018600;6592600;19742000;62560800;140176800
47;80600;302700;1018100;5761600;15541600;53209700;93888000;139261000
47;80600;347600;2229400;4872700;24752100;57349800;223970500;311614200
16;106300;383300;1780000;10568700;50665200;259300500;1110540100;6570158100
13;93800;431300;3863800;14554000;89724200;416126100;2412877200;8798601300
43;84700;267600;712900;2121500;5163800;20782200;42873400;176594100
40;85400;199300;1313800;4473700;16855000;70269900;272385500;783117700
36;83600;411100;2980400;11763200;87908000;320467900;1734468100;4622011000
31;110200;447700;3473600;14336800;88093500;291078000;946784700;5507818000
46;93800;374600;2024600;6089100;29044300;92235300;380855300;900992800
46;69000;340000;1963700;8016200;36747800;137137000;469049200;1225295600
19;111200;476700;3628300;13753700;97863700;300255500;2150590300;6413131100
11;37800;171800;946000;3822000;22236700;84732400;415281700;1563523400
32;126500;234500;2627100;4506000;67307500;122622100;1109205600;1669347000
10;75500;277900;1215600;4880200;32667300;141680500;684373900;2489453500
12;88700;241600;1436400;4061800;36699300;110243200;628287500;1768544200
10;71500;257600;1263800;5043400;29019100;87262600;591995900;2024936300
39;136600;354100;2684700;6556200;62370100;109707200;813943000;1749615500
39;83500;178700;1003200;4120900;15200500;60445400;226035100;538263900
49;70000;115400;652900;1420600;7671100;12288700;46671900;75916000
16;84600;254800;1056600;4398600;26951700;126486000;545375100;2327120200
20;62800;374500;2078800;10739800;34254300;177833000;524067000;4400867700
47;113500;534600;2251500;14327800;69509600;249579400;1318715300;4351515200
25;98200;283100;803800;7194000;26445800;221640000;704618900;7012996900
48;91000;128800;427500;830900;3593400;4320300;21805600;36518000
24;151600;945700;5395600;29258200;163119900;1039660400;3848948900;12775723000
18;95000;244100;2084700;15833700;42913500;573283800;1311495000;9661801200
24;92700;316200;2487100;10701600;69046100;427638000;1589719300;11107874000
19;93200;390200;1714000;6904000;37874600;146274300;1140765400;4040733600
16;64500;257600;1650000;4467200;26039000;58236300;427795000;920789100
